Product Name,Processor Type,RAM,Storage,Display,Price
"Lenovo IdeaPad Flex 5 14IAU7 Core i5 12th Gen 14"" WUXGA Touch Laptop","AMD Ryzen 5 4600H (8MB Cache, 3.0GHz up to 4.0GHz)","16GB DDR4 3200MHz , ", 512GB SSD,"14"" FHD (1920 x 1080) IPS","118,000"
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 2050 4GB Graphics 15.6"" FHD Laptop","Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)","8GB DDR4 3200MHz , ", 512GB SSD,"Features: Backlit Keyboard, Dual Display, Type-C","118,000"
"HP ProBook 440 G10 Core i7 13th Gen 14"" FHD Laptop","Intel Core i5-1335U (12MB Cache, up to 4.6 GHz)","8GB DDR5 4800MHz, ", 512GB SSD,"14.5"" 2.5K (2560x1600) IPS, 90Hz","118,500"
"HP ProBook 450 G10 Core i7 13th Gen 15.6"" FHD Laptop",AMD Ryzen 7 7730U ,"16GB DDR4, ", 512GB SSD,"13.3"" 3K (2880 x 1800) OLED 0.2ms Touchscreen","118,500"
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","AMD Ryzen 7 5825U (2.0GHz Up to 4.5GHz, Core 8, Threads 16)","8GB, ", 256GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","119,000"
"Lenovo IdeaPad Slim 5i Pro Core i5 11th Gen MX450 2GB Graphics 16"" Laptop With 3 Years Warranty","AMD Ryzen 5 5625U (16MB L3 Cache, 2.3GHz, up to 4.3GHz)","16GB DDR5, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","121,000"
"Asus TUF Gaming A17 FA706ICB Ryzen 5 4600H RTX 3050 4GB Graphics 17.3"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR5, ", 512GB SSD,"13.3"" 2.8K (2880 x 1800) OLED","121,000"
GIGABYTE G5 MF Core i5 12th Gen RTX 4050 6GB Graphics 15.6'' FHD 144Hz Gaming Laptop,AMD Ryzen 5 7535HS,"16GB DDR4, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","124,000"
"ASUS VivoBook S 14 Flip TP3402VA Core i5 13th Gen 14"" WUXGA Touch Laptop","Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","8GB, ", 256GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","124,000"
"Lenovo Yoga 6 13ABR8 Ryzen 7 7730U 13.3"" FHD Touch Laptop",AMD Ryzen 7 7735HS ,"16GB RAM, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","125,000"
"Asus ZenBook 14 UM3402YA Ryzen 7 5825U 14"" WQXGA Laptop","Intel Core i7-12700H (24M Cache, 3.50 GHz up to 4.70 GHz)","16GB DDR5, ", 512GB SSD,"14"" 2.8K (2880 x 1800) OLED Touch","129,000"
"Asus ZenBook 14 OLED UM3402YA Ryzen 5 5625U 14"" WQHD Laptop","AMD Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)","16GB, ", 512GB SSD,"13.5"" PixelSense Multi-Touch","129,500"
"MSI Cyborg 15 A12VE Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-11400H Processor (12M Cache, 2.70 GHz up to 4.50 GHz)","16GB (8x2) DDR5, ", 1TB SSD,"13.3"" 3K (2880 x 1800) OLED 0.2ms","129,500"
"Lenovo IdeaPad Pro 5 16ARP8 Ryzen 5 7535HS 16"" 2.5K Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR5 4800MHz, ", 512GB SSD,"Features: Backlit Keyboard, 165Hz Display, Type-C","129,500"
"ASUS TUF Gaming F15 FX506HF Core i7 11th Gen RTX 3050Ti 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)","16GB DDR5, ", 512GB SSD ,"Features: 240Hz Display, Backlit Keyboard, Type-C","129,900"
"Lenovo IdeaPad Pro 5 16ARP8 Ryzen 7 7735HS 16"" 2.5K Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB LPDDR5, ", 512GB SSD,"14.5"" 2.8K 120Hz OLED Touchscreen, ScreenPad Plus","130,000"
"ASUS TUF Gaming F15 FX507ZC4 Core i7 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB, ", 256GB SSD,"Features: 17.3"" 144Hz Display, Backlit Keyboard","131,900"
"ASUS Vivobook Pro 15 M3500QC Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR4, ", 512GB SSD,"14.2"" Liquid Retina display (3024 x 1664)","132,000"
"ASUS TUF Gaming F15 FX506HE Core i5 11th Gen RTX 3050 Ti 4GB Graphics 15.6"" FHD Gaming Laptop","Ryzen 7 5800H (8-core, 16-thread, 20MB cache, up to 4.4 GHz)","16GB DDR4 3200MHz, ", 512GB NVMe SSD,"Features: Backlit Keyboard, 144Hz Display","133,500"
"MSI Sword 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i7-13700H (24M Cache, 3.70 GHz up to 5.0 GHz)","8GB, ", 256GB SSD,"Features: Backlit Keyboard, 165Hz Display","134,000"
GIGABYTE G5 KF Core i5 12th Gen RTX 4060 8GB Graphics 15.6'' FHD 144Hz Gaming Laptop,"AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)","16GB DDR5,  ", 512GB SSD ,"14"" 2.8K (2880x1800) OLED, 90Hz","135,000"
